tipodezona,añodenacimiento,nºdehijosnacidosvivos,total
Total Nacional,Total,,10656709
Total Nacional,Total,0,941683
Total Nacional,Total,1,1754121
Total Nacional,Total,2,3552638
Total Nacional,Total,3,1948541
Total Nacional,Total,4,1088702
Total Nacional,Total,5,580051
Total Nacional,Total,6,322878
Total Nacional,Total,7,187642
Total Nacional,Total,8,117178
Total Nacional,Total,,163275
Total Nacional,de 1961 a 1965,,98404
Total Nacional,de 1961 a 1965,0,32019
Total Nacional,de 1961 a 1965,1,44022
Total Nacional,de 1961 a 1965,2,20145
Total Nacional,de 1961 a 1965,3,1114
Total Nacional,de 1961 a 1965,4,903
Total Nacional,de 1961 a 1965,5,192
Total Nacional,de 1961 a 1965,6,9
Total Nacional,de 1961 a 1965,7,
Total Nacional,de 1961 a 1965,8,
Total Nacional,de 1961 a 1965,,
Total Nacional,de 1956 a 1960,,617972
Total Nacional,de 1956 a 1960,0,179172
Total Nacional,de 1956 a 1960,1,270317
Total Nacional,de 1956 a 1960,2,141168
Total Nacional,de 1956 a 1960,3,21415
Total Nacional,de 1956 a 1960,4,4212
Total Nacional,de 1956 a 1960,5,1084
Total Nacional,de 1956 a 1960,6,369
Total Nacional,de 1956 a 1960,7,149
Total Nacional,de 1956 a 1960,8,55
Total Nacional,de 1956 a 1960,,32
Total Nacional,de 1951 a 1955,,983312
Total Nacional,de 1951 a 1955,0,122050
Total Nacional,de 1951 a 1955,1,347342
Total Nacional,de 1951 a 1955,2,383383
Total Nacional,de 1951 a 1955,3,96152
Total Nacional,de 1951 a 1955,4,24034
Total Nacional,de 1951 a 1955,5,6773
Total Nacional,de 1951 a 1955,6,2096
Total Nacional,de 1951 a 1955,7,855
Total Nacional,de 1951 a 1955,8,406
Total Nacional,de 1951 a 1955,,220
Total Nacional,de 1946 a 1950,,1073629
Total Nacional,de 1946 a 1950,0,53130
Total Nacional,de 1946 a 1950,1,178155
Total Nacional,de 1946 a 1950,2,499849
Total Nacional,de 1946 a 1950,3,226339
Total Nacional,de 1946 a 1950,4,77476
Total Nacional,de 1946 a 1950,5,24216
Total Nacional,de 1946 a 1950,6,8218
Total Nacional,de 1946 a 1950,7,3313
Total Nacional,de 1946 a 1950,8,1698
Total Nacional,de 1946 a 1950,,1235
Total Nacional,de 1941 a 1945,,1003628
Total Nacional,de 1941 a 1945,0,37849
Total Nacional,de 1941 a 1945,1,103436
Total Nacional,de 1941 a 1945,2,393787
Total Nacional,de 1941 a 1945,3,260578
Total Nacional,de 1941 a 1945,4,122583
Total Nacional,de 1941 a 1945,5,49032
Total Nacional,de 1941 a 1945,6,19381
Total Nacional,de 1941 a 1945,7,8486
Total Nacional,de 1941 a 1945,8,4165
Total Nacional,de 1941 a 1945,,4329
Total Nacional,de 1936 a 1940,,955331
Total Nacional,de 1936 a 1940,0,39084
Total Nacional,de 1936 a 1940,1,92578
Total Nacional,de 1936 a 1940,2,322888
Total Nacional,de 1936 a 1940,3,237227
Total Nacional,de 1936 a 1940,4,134983
Total Nacional,de 1936 a 1940,5,64553
Total Nacional,de 1936 a 1940,6,30741
Total Nacional,de 1936 a 1940,7,15472
Total Nacional,de 1936 a 1940,8,7821
Total Nacional,de 1936 a 1940,,9984
Total Nacional,de 1931 a 1935,,1081006
Total Nacional,de 1931 a 1935,0,57764
Total Nacional,de 1931 a 1935,1,119089
Total Nacional,de 1931 a 1935,2,352034
Total Nacional,de 1931 a 1935,3,243999
Total Nacional,de 1931 a 1935,4,144890
Total Nacional,de 1931 a 1935,5,75610
Total Nacional,de 1931 a 1935,6,39006
Total Nacional,de 1931 a 1935,7,20768
Total Nacional,de 1931 a 1935,8,12211
Total Nacional,de 1931 a 1935,,15636
Total Nacional,de 1926 a 1930,,1027520
Total Nacional,de 1926 a 1930,0,73970
Total Nacional,de 1926 a 1930,1,131037
Total Nacional,de 1926 a 1930,2,321194
Total Nacional,de 1926 a 1930,3,212630
Total Nacional,de 1926 a 1930,4,128529
Total Nacional,de 1926 a 1930,5,69483
Total Nacional,de 1926 a 1930,6,38305
Total Nacional,de 1926 a 1930,7,21566
Total Nacional,de 1926 a 1930,8,12706
Total Nacional,de 1926 a 1930,,18099
Total Nacional,de 1921 a 1925,,926481
Total Nacional,de 1921 a 1925,0,78324
Total Nacional,de 1921 a 1925,1,127648
Total Nacional,de 1921 a 1925,2,277980
Total Nacional,de 1921 a 1925,3,178126
Total Nacional,de 1921 a 1925,4,110673
Total Nacional,de 1921 a 1925,5,63605
Total Nacional,de 1921 a 1925,6,36921
Total Nacional,de 1921 a 1925,7,20987
Total Nacional,de 1921 a 1925,8,13129
Total Nacional,de 1921 a 1925,,19089
Total Nacional,de 1916 a 1920,,753862
Total Nacional,de 1916 a 1920,0,73558
Total Nacional,de 1916 a 1920,1,105673
Total Nacional,de 1916 a 1920,2,217409
Total Nacional,de 1916 a 1920,3,134663
Total Nacional,de 1916 a 1920,4,90058
Total Nacional,de 1916 a 1920,5,53022
Total Nacional,de 1916 a 1920,6,31223
Total Nacional,de 1916 a 1920,7,19594
Total Nacional,de 1916 a 1920,8,12125
Total Nacional,de 1916 a 1920,,16537
Total Nacional,de 1911 a 1915,,700213
Total Nacional,de 1911 a 1915,0,69422
Total Nacional,de 1911 a 1915,1,90543
Total Nacional,de 1911 a 1915,2,201110
Total Nacional,de 1911 a 1915,3,119726
Total Nacional,de 1911 a 1915,4,83005
Total Nacional,de 1911 a 1915,5,52167
Total Nacional,de 1911 a 1915,6,33356
Total Nacional,de 1911 a 1915,7,20086
Total Nacional,de 1911 a 1915,8,12956
Total Nacional,de 1911 a 1915,,17832
Total Nacional,de 1906 a 1910,,599272
Total Nacional,de 1906 a 1910,0,56048
Total Nacional,de 1906 a 1910,1,67588
Total Nacional,de 1906 a 1910,2,171295
Total Nacional,de 1906 a 1910,3,96928
Total Nacional,de 1906 a 1910,4,71872
Total Nacional,de 1906 a 1910,5,48909
Total Nacional,de 1906 a 1910,6,32032
Total Nacional,de 1906 a 1910,7,20695
Total Nacional,de 1906 a 1910,8,13554
Total Nacional,de 1906 a 1910,,20351
Total Nacional,anterior a 1906,,836080
Total Nacional,anterior a 1906,0,69291
Total Nacional,anterior a 1906,1,76693
Total Nacional,anterior a 1906,2,250396
Total Nacional,anterior a 1906,3,119645
Total Nacional,anterior a 1906,4,95486
Total Nacional,anterior a 1906,5,71405
Total Nacional,anterior a 1906,6,51222
Total Nacional,anterior a 1906,7,35670
Total Nacional,anterior a 1906,8,26342
Total Nacional,anterior a 1906,,39931
Zona rural,Total,,2198021
Zona rural,Total,0,161507
Zona rural,Total,1,345310
Zona rural,Total,2,716525
Zona rural,Total,3,390506
Zona rural,Total,4,240704
Zona rural,Total,5,136541
Zona rural,Total,6,82341
Zona rural,Total,7,49388
Zona rural,Total,8,31706
Zona rural,Total,,43493
Zona rural,de 1961 a 1965,,21567
Zona rural,de 1961 a 1965,0,7048
Zona rural,de 1961 a 1965,1,9121
Zona rural,de 1961 a 1965,2,4907
Zona rural,de 1961 a 1965,3,257
Zona rural,de 1961 a 1965,4,178
Zona rural,de 1961 a 1965,5,56
Zona rural,de 1961 a 1965,6,
Zona rural,de 1961 a 1965,7,
Zona rural,de 1961 a 1965,8,
Zona rural,de 1961 a 1965,,
Zona rural,de 1956 a 1960,,105336
Zona rural,de 1956 a 1960,0,22685
Zona rural,de 1956 a 1960,1,47619
Zona rural,de 1956 a 1960,2,28972
Zona rural,de 1956 a 1960,3,4865
Zona rural,de 1956 a 1960,4,862
Zona rural,de 1956 a 1960,5,211
Zona rural,de 1956 a 1960,6,60
Zona rural,de 1956 a 1960,7,53
Zona rural,de 1956 a 1960,8,10
Zona rural,de 1956 a 1960,,
Zona rural,de 1951 a 1955,,147583
Zona rural,de 1951 a 1955,0,14375
Zona rural,de 1951 a 1955,1,49472
Zona rural,de 1951 a 1955,2,59950
Zona rural,de 1951 a 1955,3,16974
Zona rural,de 1951 a 1955,4,4904
Zona rural,de 1951 a 1955,5,1201
Zona rural,de 1951 a 1955,6,381
Zona rural,de 1951 a 1955,7,209
Zona rural,de 1951 a 1955,8,86
Zona rural,de 1951 a 1955,,32
Zona rural,de 1946 a 1950,,163114
Zona rural,de 1946 a 1950,0,7534
Zona rural,de 1946 a 1950,1,29742
Zona rural,de 1946 a 1950,2,71622
Zona rural,de 1946 a 1950,3,33253
Zona rural,de 1946 a 1950,4,13571
Zona rural,de 1946 a 1950,5,4538
Zona rural,de 1946 a 1950,6,1583
Zona rural,de 1946 a 1950,7,674
Zona rural,de 1946 a 1950,8,330
Zona rural,de 1946 a 1950,,266
Zona rural,de 1941 a 1945,,167725
Zona rural,de 1941 a 1945,0,6152
Zona rural,de 1941 a 1945,1,22141
Zona rural,de 1941 a 1945,2,64300
Zona rural,de 1941 a 1945,3,39314
Zona rural,de 1941 a 1945,4,19803
Zona rural,de 1941 a 1945,5,8680
Zona rural,de 1941 a 1945,6,3822
Zona rural,de 1941 a 1945,7,1721
Zona rural,de 1941 a 1945,8,837
Zona rural,de 1941 a 1945,,955
Zona rural,de 1936 a 1940,,178344
Zona rural,de 1936 a 1940,0,6947
Zona rural,de 1936 a 1940,1,22128
Zona rural,de 1936 a 1940,2,60305
Zona rural,de 1936 a 1940,3,40568
Zona rural,de 1936 a 1940,4,23464
Zona rural,de 1936 a 1940,5,11897
Zona rural,de 1936 a 1940,6,6239
Zona rural,de 1936 a 1940,7,3124
Zona rural,de 1936 a 1940,8,1659
Zona rural,de 1936 a 1940,,2012
Zona rural,de 1931 a 1935,,227890
Zona rural,de 1931 a 1935,0,10784
Zona rural,de 1931 a 1935,1,29046
Zona rural,de 1931 a 1935,2,75111
Zona rural,de 1931 a 1935,3,47846
Zona rural,de 1931 a 1935,4,29645
Zona rural,de 1931 a 1935,5,15669
Zona rural,de 1931 a 1935,6,8482
Zona rural,de 1931 a 1935,7,4868
Zona rural,de 1931 a 1935,8,2765
Zona rural,de 1931 a 1935,,3673
Zona rural,de 1926 a 1930,,226309
Zona rural,de 1926 a 1930,0,13692
Zona rural,de 1926 a 1930,1,30310
Zona rural,de 1926 a 1930,2,72693
Zona rural,de 1926 a 1930,3,46784
Zona rural,de 1926 a 1930,4,28162
Zona rural,de 1926 a 1930,5,15373
Zona rural,de 1926 a 1930,6,8607
Zona rural,de 1926 a 1930,7,4820
Zona rural,de 1926 a 1930,8,2942
Zona rural,de 1926 a 1930,,4026
Zona rural,de 1921 a 1925,,213114
Zona rural,de 1921 a 1925,0,15129
Zona rural,de 1921 a 1925,1,29018
Zona rural,de 1921 a 1925,2,64608
Zona rural,de 1921 a 1925,3,41198
Zona rural,de 1921 a 1925,4,26375
Zona rural,de 1921 a 1925,5,15174
Zona rural,de 1921 a 1925,6,8782
Zona rural,de 1921 a 1925,7,6020
Zona rural,de 1921 a 1925,8,3310
Zona rural,de 1921 a 1925,,4499
Zona rural,de 1916 a 1920,,182771
Zona rural,de 1916 a 1920,0,14765
Zona rural,de 1916 a 1920,1,24175
Zona rural,de 1916 a 1920,2,52694
Zona rural,de 1916 a 1920,3,33018
Zona rural,de 1916 a 1920,4,23218
Zona rural,de 1916 a 1920,5,13545
Zona rural,de 1916 a 1920,6,8445
Zona rural,de 1916 a 1920,7,5349
Zona rural,de 1916 a 1920,8,3272
Zona rural,de 1916 a 1920,,4291
Zona rural,de 1911 a 1915,,176792
Zona rural,de 1911 a 1915,0,14264
Zona rural,de 1911 a 1915,1,20070
Zona rural,de 1911 a 1915,2,50002
Zona rural,de 1911 a 1915,3,30370
Zona rural,de 1911 a 1915,4,22723
Zona rural,de 1911 a 1915,5,14472
Zona rural,de 1911 a 1915,6,9759
Zona rural,de 1911 a 1915,7,6013
Zona rural,de 1911 a 1915,8,3894
Zona rural,de 1911 a 1915,,5225
Zona rural,de 1906 a 1910,,161191
Zona rural,de 1906 a 1910,0,12354
Zona rural,de 1906 a 1910,1,15084
Zona rural,de 1906 a 1910,2,44689
Zona rural,de 1906 a 1910,3,25672
Zona rural,de 1906 a 1910,4,20685
Zona rural,de 1906 a 1910,5,14921
Zona rural,de 1906 a 1910,6,10161
Zona rural,de 1906 a 1910,7,6708
Zona rural,de 1906 a 1910,8,4346
Zona rural,de 1906 a 1910,,6571
Zona rural,anterior a 1906,,226284
Zona rural,anterior a 1906,0,15779
Zona rural,anterior a 1906,1,17385
Zona rural,anterior a 1906,2,66772
Zona rural,anterior a 1906,3,31387
Zona rural,anterior a 1906,4,27113
Zona rural,anterior a 1906,5,20804
Zona rural,anterior a 1906,6,16020
Zona rural,anterior a 1906,7,10827
Zona rural,anterior a 1906,8,8256
Zona rural,anterior a 1906,,11942
Zona intermedia,Total,,1817101
Zona intermedia,Total,0,145730
Zona intermedia,Total,1,273516
Zona intermedia,Total,2,600112
Zona intermedia,Total,3,345685
Zona intermedia,Total,4,197872
Zona intermedia,Total,5,108523
Zona intermedia,Total,6,60428
Zona intermedia,Total,7,3447
Zona intermedia,Total,8,21172
Zona intermedia,Total,,29585
Zona intermedia,de 1961 a 1965,,20228
Zona intermedia,de 1961 a 1965,0,6645
Zona intermedia,de 1961 a 1965,1,9097
Zona intermedia,de 1961 a 1965,2,3895
Zona intermedia,de 1961 a 1965,3,224
Zona intermedia,de 1961 a 1965,4,328
Zona intermedia,de 1961 a 1965,5,35
Zona intermedia,de 1961 a 1965,6,4
Zona intermedia,de 1961 a 1965,7,
Zona intermedia,de 1961 a 1965,8,
Zona intermedia,de 1961 a 1965,,
Zona intermedia,de 1956 a 1960,,113606
Zona intermedia,de 1956 a 1960,0,29172
Zona intermedia,de 1956 a 1960,1,50703
Zona intermedia,de 1956 a 1960,2,28317
Zona intermedia,de 1956 a 1960,3,4358
Zona intermedia,de 1956 a 1960,4,746
Zona intermedia,de 1956 a 1960,5,202
Zona intermedia,de 1956 a 1960,6,81
Zona intermedia,de 1956 a 1960,7,22
Zona intermedia,de 1956 a 1960,8,2
Zona intermedia,de 1956 a 1960,,4
Zona intermedia,de 1951 a 1955,,167591
Zona intermedia,de 1951 a 1955,0,16709
Zona intermedia,de 1951 a 1955,1,57346
Zona intermedia,de 1951 a 1955,2,67902
Zona intermedia,de 1951 a 1955,3,18714
Zona intermedia,de 1951 a 1955,4,4726
Zona intermedia,de 1951 a 1955,5,1395
Zona intermedia,de 1951 a 1955,6,479
Zona intermedia,de 1951 a 1955,7,197
Zona intermedia,de 1951 a 1955,8,74
Zona intermedia,de 1951 a 1955,,50
Zona intermedia,de 1946 a 1950,,172969
Zona intermedia,de 1946 a 1950,0,7127
Zona intermedia,de 1946 a 1950,1,24961
Zona intermedia,de 1946 a 1950,2,79765
Zona intermedia,de 1946 a 1950,3,38997
Zona intermedia,de 1946 a 1950,4,14231
Zona intermedia,de 1946 a 1950,5,5061
Zona intermedia,de 1946 a 1950,6,1590
Zona intermedia,de 1946 a 1950,7,605
Zona intermedia,de 1946 a 1950,8,381
Zona intermedia,de 1946 a 1950,,253
Zona intermedia,de 1941 a 1945,,163352
Zona intermedia,de 1941 a 1945,0,5264
Zona intermedia,de 1941 a 1945,1,14469
Zona intermedia,de 1941 a 1945,2,61693
Zona intermedia,de 1941 a 1945,3,43796
Zona intermedia,de 1941 a 1945,4,21859
Zona intermedia,de 1941 a 1945,5,9229
Zona intermedia,de 1941 a 1945,6,3781
Zona intermedia,de 1941 a 1945,7,1680
Zona intermedia,de 1941 a 1945,8,787
Zona intermedia,de 1941 a 1945,,793
Zona intermedia,de 1936 a 1940,,160797
Zona intermedia,de 1936 a 1940,0,5827
Zona intermedia,de 1936 a 1940,1,13291
Zona intermedia,de 1936 a 1940,2,52067
Zona intermedia,de 1936 a 1940,3,40852
Zona intermedia,de 1936 a 1940,4,23905
Zona intermedia,de 1936 a 1940,5,12310
Zona intermedia,de 1936 a 1940,6,5847
Zona intermedia,de 1936 a 1940,7,3134
Zona intermedia,de 1936 a 1940,8,1567
Zona intermedia,de 1936 a 1940,,1996
Zona intermedia,de 1931 a 1935,,184315
Zona intermedia,de 1931 a 1935,0,9026
Zona intermedia,de 1931 a 1935,1,17344
Zona intermedia,de 1931 a 1935,2,57632
Zona intermedia,de 1931 a 1935,3,43960
Zona intermedia,de 1931 a 1935,4,25599
Zona intermedia,de 1931 a 1935,5,14084
Zona intermedia,de 1931 a 1935,6,7545
Zona intermedia,de 1931 a 1935,7,3730
Zona intermedia,de 1931 a 1935,8,2188
Zona intermedia,de 1931 a 1935,,3208
Zona intermedia,de 1926 a 1930,,175675
Zona intermedia,de 1926 a 1930,0,11330
Zona intermedia,de 1926 a 1930,1,19182
Zona intermedia,de 1926 a 1930,2,53932
Zona intermedia,de 1926 a 1930,3,38717
Zona intermedia,de 1926 a 1930,4,23364
Zona intermedia,de 1926 a 1930,5,12723
Zona intermedia,de 1926 a 1930,6,6943
Zona intermedia,de 1926 a 1930,7,4008
Zona intermedia,de 1926 a 1930,8,2251
Zona intermedia,de 1926 a 1930,,3225
Zona intermedia,de 1921 a 1925,,153657
Zona intermedia,de 1921 a 1925,0,11785
Zona intermedia,de 1921 a 1925,1,18098
Zona intermedia,de 1921 a 1925,2,46748
Zona intermedia,de 1921 a 1925,3,30915
Zona intermedia,de 1921 a 1925,4,19589
Zona intermedia,de 1921 a 1925,5,10960
Zona intermedia,de 1921 a 1925,6,6547
Zona intermedia,de 1921 a 1925,7,3642
Zona intermedia,de 1921 a 1925,8,2162
Zona intermedia,de 1921 a 1925,,3211
Zona intermedia,de 1916 a 1920,,127167
Zona intermedia,de 1916 a 1920,0,11442
Zona intermedia,de 1916 a 1920,1,15241
Zona intermedia,de 1916 a 1920,2,37040
Zona intermedia,de 1916 a 1920,3,24099
Zona intermedia,de 1916 a 1920,4,16120
Zona intermedia,de 1916 a 1920,5,9660
Zona intermedia,de 1916 a 1920,6,5381
Zona intermedia,de 1916 a 1920,7,3276
Zona intermedia,de 1916 a 1920,8,2153
Zona intermedia,de 1916 a 1920,,2754
Zona intermedia,de 1911 a 1915,,121559
Zona intermedia,de 1911 a 1915,0,11296
Zona intermedia,de 1911 a 1915,1,12839
Zona intermedia,de 1911 a 1915,2,35210
Zona intermedia,de 1911 a 1915,3,21776
Zona intermedia,de 1911 a 1915,4,15645
Zona intermedia,de 1911 a 1915,5,9839
Zona intermedia,de 1911 a 1915,6,5851
Zona intermedia,de 1911 a 1915,7,3656
Zona intermedia,de 1911 a 1915,8,2249
Zona intermedia,de 1911 a 1915,,3198
Zona intermedia,de 1906 a 1910,,107293
Zona intermedia,de 1906 a 1910,0,8729
Zona intermedia,de 1906 a 1910,1,10076
Zona intermedia,de 1906 a 1910,2,30524
Zona intermedia,de 1906 a 1910,3,18289
Zona intermedia,de 1906 a 1910,4,13878
Zona intermedia,de 1906 a 1910,5,9364
Zona intermedia,de 1906 a 1910,6,6493
Zona intermedia,de 1906 a 1910,7,3764
Zona intermedia,de 1906 a 1910,8,2491
Zona intermedia,de 1906 a 1910,,3688
Zona intermedia,anterior a 1906,,148891
Zona intermedia,anterior a 1906,0,11377
Zona intermedia,anterior a 1906,1,10870
Zona intermedia,anterior a 1906,2,45390
Zona intermedia,anterior a 1906,3,20991
Zona intermedia,anterior a 1906,4,17883
Zona intermedia,anterior a 1906,5,13661
Zona intermedia,anterior a 1906,6,9885
Zona intermedia,anterior a 1906,7,6763
Zona intermedia,anterior a 1906,8,4866
Zona intermedia,anterior a 1906,,7205
Zona urbana,Total,,6641588
Zona urbana,Total,0,634446
Zona urbana,Total,1,1135295
Zona urbana,Total,2,2236000
Zona urbana,Total,3,1212349
Zona urbana,Total,4,650126
Zona urbana,Total,5,334987
Zona urbana,Total,6,180409
Zona urbana,Total,7,103778
Zona urbana,Total,8,64301
Zona urbana,Total,,90197
Zona urbana,de 1961 a 1965,,56608
Zona urbana,de 1961 a 1965,0,18326
Zona urbana,de 1961 a 1965,1,25804
Zona urbana,de 1961 a 1965,2,11343
Zona urbana,de 1961 a 1965,3,633
Zona urbana,de 1961 a 1965,4,397
Zona urbana,de 1961 a 1965,5,101
Zona urbana,de 1961 a 1965,6,4
Zona urbana,de 1961 a 1965,7,
Zona urbana,de 1961 a 1965,8,
Zona urbana,de 1961 a 1965,,
Zona urbana,de 1956 a 1960,,399030
Zona urbana,de 1956 a 1960,0,127316
Zona urbana,de 1956 a 1960,1,171995
Zona urbana,de 1956 a 1960,2,83880
Zona urbana,de 1956 a 1960,3,12192
Zona urbana,de 1956 a 1960,4,2604
Zona urbana,de 1956 a 1960,5,671
Zona urbana,de 1956 a 1960,6,228
Zona urbana,de 1956 a 1960,7,74
Zona urbana,de 1956 a 1960,8,43
Zona urbana,de 1956 a 1960,,27
Zona urbana,de 1951 a 1955,,668137
Zona urbana,de 1951 a 1955,0,90966
Zona urbana,de 1951 a 1955,1,240524
Zona urbana,de 1951 a 1955,2,255531
Zona urbana,de 1951 a 1955,3,60464
Zona urbana,de 1951 a 1955,4,14404
Zona urbana,de 1951 a 1955,5,4178
Zona urbana,de 1951 a 1955,6,1236
Zona urbana,de 1951 a 1955,7,449
Zona urbana,de 1951 a 1955,8,246
Zona urbana,de 1951 a 1955,,139
Zona urbana,de 1946 a 1950,,737545
Zona urbana,de 1946 a 1950,0,38469
Zona urbana,de 1946 a 1950,1,123452
Zona urbana,de 1946 a 1950,2,348462
Zona urbana,de 1946 a 1950,3,154089
Zona urbana,de 1946 a 1950,4,49674
Zona urbana,de 1946 a 1950,5,14646
Zona urbana,de 1946 a 1950,6,5045
Zona urbana,de 1946 a 1950,7,2036
Zona urbana,de 1946 a 1950,8,987
Zona urbana,de 1946 a 1950,,716
Zona urbana,de 1941 a 1945,,672551
Zona urbana,de 1941 a 1945,0,26434
Zona urbana,de 1941 a 1945,1,66827
Zona urbana,de 1941 a 1945,2,267794
Zona urbana,de 1941 a 1945,3,177468
Zona urbana,de 1941 a 1945,4,80920
Zona urbana,de 1941 a 1945,5,31123
Zona urbana,de 1941 a 1945,6,11778
Zona urbana,de 1941 a 1945,7,5084
Zona urbana,de 1941 a 1945,8,2541
Zona urbana,de 1941 a 1945,,2581
Zona urbana,de 1936 a 1940,,616190
Zona urbana,de 1936 a 1940,0,26310
Zona urbana,de 1936 a 1940,1,57160
Zona urbana,de 1936 a 1940,2,210517
Zona urbana,de 1936 a 1940,3,155806
Zona urbana,de 1936 a 1940,4,87613
Zona urbana,de 1936 a 1940,5,40345
Zona urbana,de 1936 a 1940,6,18654
Zona urbana,de 1936 a 1940,7,9214
Zona urbana,de 1936 a 1940,8,4595
Zona urbana,de 1936 a 1940,,5976
Zona urbana,de 1931 a 1935,,668802
Zona urbana,de 1931 a 1935,0,37955
Zona urbana,de 1931 a 1935,1,72699
Zona urbana,de 1931 a 1935,2,219291
Zona urbana,de 1931 a 1935,3,152193
Zona urbana,de 1931 a 1935,4,89646
Zona urbana,de 1931 a 1935,5,45856
Zona urbana,de 1931 a 1935,6,22979
Zona urbana,de 1931 a 1935,7,12170
Zona urbana,de 1931 a 1935,8,7257
Zona urbana,de 1931 a 1935,,8755
Zona urbana,de 1926 a 1930,,625536
Zona urbana,de 1926 a 1930,0,48948
Zona urbana,de 1926 a 1930,1,81544
Zona urbana,de 1926 a 1930,2,194670
Zona urbana,de 1926 a 1930,3,128129
Zona urbana,de 1926 a 1930,4,77003
Zona urbana,de 1926 a 1930,5,41388
Zona urbana,de 1926 a 1930,6,22755
Zona urbana,de 1926 a 1930,7,12737
Zona urbana,de 1926 a 1930,8,7513
Zona urbana,de 1926 a 1930,,10848
Zona urbana,de 1921 a 1925,,559710
Zona urbana,de 1921 a 1925,0,51409
Zona urbana,de 1921 a 1925,1,80532
Zona urbana,de 1921 a 1925,2,166624
Zona urbana,de 1921 a 1925,3,106013
Zona urbana,de 1921 a 1925,4,64709
Zona urbana,de 1921 a 1925,5,37471
Zona urbana,de 1921 a 1925,6,21591
Zona urbana,de 1921 a 1925,7,12326
Zona urbana,de 1921 a 1925,8,7657
Zona urbana,de 1921 a 1925,,11379
Zona urbana,de 1916 a 1920,,443924
Zona urbana,de 1916 a 1920,0,47351
Zona urbana,de 1916 a 1920,1,66257
Zona urbana,de 1916 a 1920,2,127675
Zona urbana,de 1916 a 1920,3,77546
Zona urbana,de 1916 a 1920,4,50720
Zona urbana,de 1916 a 1920,5,29817
Zona urbana,de 1916 a 1920,6,17397
Zona urbana,de 1916 a 1920,7,10969
Zona urbana,de 1916 a 1920,8,6700
Zona urbana,de 1916 a 1920,,9492
Zona urbana,de 1911 a 1915,,401861
Zona urbana,de 1911 a 1915,0,43861
Zona urbana,de 1911 a 1915,1,57334
Zona urbana,de 1911 a 1915,2,115899
Zona urbana,de 1911 a 1915,3,67580
Zona urbana,de 1911 a 1915,4,44636
Zona urbana,de 1911 a 1915,5,27856
Zona urbana,de 1911 a 1915,6,17746
Zona urbana,de 1911 a 1915,7,10417
Zona urbana,de 1911 a 1915,8,6823
Zona urbana,de 1911 a 1915,,9410
Zona urbana,de 1906 a 1910,,330788
Zona urbana,de 1906 a 1910,0,34966
Zona urbana,de 1906 a 1910,1,42428
Zona urbana,de 1906 a 1910,2,96081
Zona urbana,de 1906 a 1910,3,52969
Zona urbana,de 1906 a 1910,4,37309
Zona urbana,de 1906 a 1910,5,24624
Zona urbana,de 1906 a 1910,6,15378
Zona urbana,de 1906 a 1910,7,10223
Zona urbana,de 1906 a 1910,8,6718
Zona urbana,de 1906 a 1910,,10092
Zona urbana,anterior a 1906,,460905
Zona urbana,anterior a 1906,0,42136
Zona urbana,anterior a 1906,1,48438
Zona urbana,anterior a 1906,2,138235
Zona urbana,anterior a 1906,3,67267
Zona urbana,anterior a 1906,4,50490
Zona urbana,anterior a 1906,5,36939
Zona urbana,anterior a 1906,6,25317
Zona urbana,anterior a 1906,7,18080
Zona urbana,anterior a 1906,8,13220
Zona urbana,anterior a 1906,,20783
