origin_province,total_stayers,origin_total,stay_share,codprov,province,pop_1940muni,sum1muni,sum2muni,pop_1940rest,sum1rest,sum2rest,treat_gap_f,treat_gap_m,muni_share_1940,ln_origin_total
Álava,6372,18963,.33602279,1,alava,49757,23.049688,31.999575,63119,31.284143,26.911371,-8.2344551,5.0882034,.44081116,9.8502445
Albacete,12267,43567,.28156632,2,albacete,64272,25.943792,36.146065,310200,34.716518,35.357517,-8.7727261,.78854752,.17163366,10.682055
Alicante,34843,61450,.56701386,3,alicante,96529,25.157196,27.083778,511033,26.96447,30.064655,-1.8072739,-2.9808769,.15887927,11.025979
Almería,16405,41514,.39516789,4,almeria,79539,41.720089,32.620026,280191,28.324554,37.180302,13.395535,-4.560276,.2211075,10.633786
Ávila,5416,29928,.18096766,5,avila,20241,27.145748,32.507141,214430,33.849766,35.702629,-6.7040176,-3.195488,.086252667,10.30655
Badajoz,18243,97345,.18740562,6,badajoz,55869,22.86816,30.311111,686678,30.646574,33.423264,-7.7784138,-3.1121521,.075239681,11.486016
Baleares,21253,40045,.53072792,7,baleares,114405,26.152744,21.992771,293092,20.24527,24.311466,5.9074745,-2.3186951,.28075054,10.597759
Barcelona,295055,418824,.70448446,8,barcelona,1081175,19.391319,23.345072,850700,22.941345,26.022959,-3.5500259,-2.677887,.5596506,12.945206
Burgos,18002,51148,.35195902,9,burgos,60975,25.708954,21.095768,317605,33.672905,34.659618,-7.9639511,-13.56385,.16106239,10.842479
Cáceres,14450,68993,.20944154,10,caceres,39392,30.254042,29.216024,471985,32.898705,33.363483,-2.6446629,-4.147459,.077031232,11.14176
Cádiz,25188,78268,.32181734,11,cadiz,87767,34.551258,29.500902,512673,31.090322,33.329227,3.4609356,-3.8283253,.14617114,11.267894
Castellón,15422,29867,.51635587,12,castellon,47376,26.556353,21.816828,265099,22.912773,25.910892,3.6435795,-4.0940647,.15161534,10.304509
Ciudad Real,9835,70880,.13875565,13,ciudad real,32981,27.542053,30.59306,497327,31.947441,35.280373,-4.4053879,-4.6873131,.062192161,11.168743
Córdoba,23263,92590,.25124744,14,cordoba,143296,28.88953,29.692003,617854,33.832676,35.734715,-4.9431458,-6.0427113,.18826249,11.435936
Coruña (La),43555,72952,.59703642,15,a coruña,104230,33.276226,27.983868,778860,29.29464,36.448467,3.9815865,-8.4645996,.11802874,11.197556
Cuenca,7364,39840,.18483935,16,cuenca,32850,27.395388,28.988976,300485,34.390499,35.800961,-6.9951115,-6.811985,.098549508,10.592627
Gerona,28638,46258,.61909294,17,gerona,29632,17.20521,16.023853,292728,22.375244,23.665508,-5.1700344,-7.641655,.091922075,10.74199
Granada,35153,105235,.33404285,18,granada,155405,12.000721,32.993977,582285,38.365269,36.781654,-26.364548,-3.7876778,.21066438,11.563951
Guadalajara,8912,26113,.34128594,19,guadalajara,23558,26.626925,19.469551,182168,31.774475,33.024155,-5.1475506,-13.554604,.11451153,10.170189
Guipúzcoa,54402,97606,.55736327,20,guipuzcoa,104006,20.393406,24.296492,227747,28.268602,31.026369,-7.8751965,-6.7298775,.31350434,11.488694
Huelva,13003,36643,.35485631,21,huelva,56427,24.339502,28.832022,310099,27.293978,29.607624,-2.9544754,-.77560234,.15395088,10.508978
Huesca,12084,28681,.42132422,22,huesca,17735,22.733349,24.065821,213912,26.643795,26.976774,-3.9104462,-2.9109535,.076560453,10.26399
Jaén,19205,88719,.21646997,23,jaen,54631,27.170895,32.993145,698677,36.141949,38.234844,-8.9710541,-5.2416992,.072521463,11.393229
León,28603,84271,.33941689,24,leon,44735,25.682549,28.885975,448523,32.730457,34.703728,-7.0479088,-5.8177528,.0906929,11.341793
Lérida,14210,37234,.38164043,25,lleida,41464,24.007494,22.089703,255976,24.152145,25.647144,-.14465141,-3.5574417,.13940291,10.524978
Rioja (La),10765,24114,.44642118,26,larioja,46230,23.169102,31.669399,174930,30.919889,31.581493,-7.7507877,.087905884,.20903419,10.090548
Lugo,9973,36274,.27493522,27,lugo,42804,28.328783,37.381348,469931,29.403885,32.088985,-1.0751019,5.2923622,.083481722,10.498857
Madrid,388874,535931,.72560459,28,madrid,1088617,21.749908,27.869492,491176,31.923151,28.919317,-10.173243,-1.0498257,.6890884,13.191761
Málaga,37184,75663,.49144232,29,malaga,238055,27.13262,32.129967,439419,33.569309,35.592018,-6.4366894,-3.4620514,.35138619,11.234044
Murcia,24939,57518,.433586,30,murcia,193431,29.571856,35.000587,526270,30.359329,29.613485,-.78747368,5.3871021,.26876578,10.959853
Navarra,33579,53688,.62544703,31,navarra,61188,21.796881,24.591816,308430,29.737473,29.89262,-7.9405918,-5.3008041,.16554388,10.890944
Orense,10400,35255,.29499361,32,ourense,28367,25.22278,28.469042,429905,28.779743,33.055927,-3.556963,-4.5868855,.061899919,10.470363
Asturias,80938,119287,.67851484,33,asturias,82848,25.237768,28.495968,753794,26.978489,32.774853,-1.7407207,-4.2788849,.09902443,11.689287
Palencia,10073,34036,.29595134,34,palencia,49102,25.850754,29.367136,168006,32.851021,34.854633,-7.000267,-5.4874973,.22616394,10.435174
Palmas (Las),36114,49581,.72838384,35,las palmas,104177,32.479969,37.352962,216347,36.658314,40.341621,-4.1783447,-2.9886589,.32502091,10.811363
Pontevedra,23517,44953,.52314639,36,pontevedra,50694,28.459171,32.102036,591069,29.021194,35.941456,-.56202316,-3.8394203,.078991778,10.713373
Salamanca,19017,57421,.33118546,37,salamanca,71863,26.700138,30.060184,318605,31.728514,34.418316,-5.0283756,-4.3581314,.18404324,10.958165
S.C.Tenerife,38735,48294,.8020665,38,santa cruz de tenerife,72358,30.399019,40.267982,287412,35.018402,37.857304,-4.6193829,2.4106789,.20112294,10.785063
Santander,32522,52851,.61535257,39,cantabria,101593,24.271507,29.714808,292117,29.826506,35.25843,-5.5549984,-5.543623,.25804019,10.875232
Segovia,6538,27870,.23458916,40,segovia,24977,27.012093,28.376339,164213,34.55426,34.907581,-7.5421677,-6.5312424,.13202073,10.235306
Sevilla,62086,135957,.45665908,41,sevilla,291223,24.180923,28.049629,671821,32.705635,34.081009,-8.5247116,-6.0313797,.30239844,11.820094
Soria,4763,19148,.2487466,42,soria,12654,25.290287,30.439854,147170,31.783541,33.572403,-6.4932537,-3.1325493,.079174593,9.8599539
Tarragona,19265,38025,.50664037,43,tarragona,35648,21.774193,22.993755,303651,21.34053,24.381689,.43366241,-1.3879337,.10506368,10.546
Teruel,6512,27565,.23624161,44,teruel,16163,27.856768,26.28265,215901,30.391598,32.252319,-2.5348301,-5.9696693,.069648892,10.224302
Toledo,15248,58049,.26267463,45,toledo,32592,25.844133,26.559357,447416,32.216805,35.582699,-6.3726711,-9.0233421,.06789887,10.969043
Valencia,111942,151195,.7403816,46,valencia,450762,22.61795,25.601616,805871,26.477892,28.112934,-3.8599415,-2.5113182,.35870618,11.926326
Valladolid,18732,44607,.41993409,47,valladolid,116004,24.262165,27.117729,216522,33.353889,35.047394,-9.0917244,-7.9296646,.34885693,10.705647
Vizcaya,93295,152464,.61191493,48,vizcaya,195186,23.026129,27.083055,315949,28.249929,30.620249,-5.2238007,-3.5371933,.3818678,11.934684
Zamora,8280,36696,.22563767,49,zamora,32388,27.949802,28.36236,266334,30.50099,33.819046,-2.5511875,-5.456686,.10842188,10.510423
Zaragoza,28962,62450,.463763,50,zaragoza,239101,22.18837,23.178343,355994,29.092356,30.553278,-6.903986,-7.3749352,.40178627,11.042122
