zone,age_group,marriage_period,avg_childrenactive,avg_childreninactive,active_minus_inactive
Total Nacional,De 15 a 19 años,1951_1955,,,
Total Nacional,De 20 a 24 años,1951_1955,,,
Total Nacional,De 25 a 29 años,1951_1955,,,
Total Nacional,De 30 a 34 años,1951_1955,,,
Total Nacional,De 35 a 39 años,1951_1955,3.6,5.2,-1.6
Total Nacional,De 40 a 44 años,1951_1955,3.5,4,-.5
Total Nacional,De 45 a 49 años,1951_1955,3.1,3.5,-.40000001
Total Nacional,de 50 y más años,1951_1955,2.6,2.8,-.2
Total Nacional,De 15 a 19 años,1956_1960,,,
Total Nacional,De 20 a 24 años,1956_1960,,,
Total Nacional,De 25 a 29 años,1956_1960,,,
Total Nacional,De 30 a 34 años,1956_1960,3,3.6,-.60000002
Total Nacional,De 35 a 39 años,1956_1960,3.5,3.9,-.40000001
Total Nacional,De 40 a 44 años,1956_1960,3,3.4,-.40000001
Total Nacional,De 45 a 49 años,1956_1960,2.7,3,-.30000001
Total Nacional,de 50 y más años,1956_1960,2.2,2.4,-.2
Total Nacional,De 15 a 19 años,1961_1965,,,
Total Nacional,De 20 a 24 años,1961_1965,,,
Total Nacional,De 25 a 29 años,1961_1965,2.1,2.8,-.69999999
Total Nacional,De 30 a 34 años,1961_1965,3.2,3.5,-.30000001
Total Nacional,De 35 a 39 años,1961_1965,2.9,3.2,-.30000001
Total Nacional,De 40 a 44 años,1961_1965,2.7,2.9,-.2
Total Nacional,De 45 a 49 años,1961_1965,2.4,2.6,-.2
Total Nacional,de 50 y más años,1961_1965,1.6,1.7,-.1
Total Nacional,De 15 a 19 años,1966_1970,,,
Total Nacional,De 20 a 24 años,1966_1970,2.2,2.8,-.60000002
Total Nacional,De 25 a 29 años,1966_1970,2.56,3.2,-.63999999
Total Nacional,De 30 a 34 años,1966_1970,2.46,2.82,-.36000001
Total Nacional,De 35 a 39 años,1966_1970,2.36,2.6,-.23999999
Total Nacional,De 40 a 44 años,1966_1970,2.24,2.42,-.18000001
Total Nacional,De 45 a 49 años,1966_1970,1.78,2,-.22
Total Nacional,de 50 y más años,1966_1970,1.08,1.38,-.30000001
Total Nacional,De 15 a 19 años,1971_1975,1.4,3,-1.6
Total Nacional,De 20 a 24 años,1971_1975,1.94,2.34,-.40000001
Total Nacional,De 25 a 29 años,1971_1975,1.76,2.2,-.44
Total Nacional,De 30 a 34 años,1971_1975,1.74,2.080000000000001,-.34
Total Nacional,De 35 a 39 años,1971_1975,1.78,2.1,-.31999999
Total Nacional,De 40 a 44 años,1971_1975,1.7,2.12,-.41999999
Total Nacional,De 45 a 49 años,1971_1975,1.36,1.74,-.38
Total Nacional,de 50 y más años,1971_1975,1.34,2.32,-.98000002
Total Nacional,De 15 a 19 años,1976_1981,1.016666666666667,1.083333333333333,-.06666667
Total Nacional,De 20 a 24 años,1976_1981,.7000000000000001,.9500000000000002,-.25
Total Nacional,De 25 a 29 años,1976_1981,.6666666666666666,.9166666666666669,-.25
Total Nacional,De 30 a 34 años,1976_1981,.7833333333333333,1.083333333333333,-.30000001
Total Nacional,De 35 a 39 años,1976_1981,.9333333333333335,1.283333333333333,-.34999999
Total Nacional,De 40 a 44 años,1976_1981,1.016666666666667,1.3,-.28333333
Total Nacional,De 45 a 49 años,1976_1981,1.016666666666667,1.266666666666667,-.25
Total Nacional,de 50 y más años,1976_1981,1.2,1.483333333333333,-.28333333
Zona intermedia,De 15 a 19 años,1951_1955,,,
Zona intermedia,De 20 a 24 años,1951_1955,,,
Zona intermedia,De 25 a 29 años,1951_1955,,,
Zona intermedia,De 30 a 34 años,1951_1955,,,
Zona intermedia,De 35 a 39 años,1951_1955,4,4.7,-.69999999
Zona intermedia,De 40 a 44 años,1951_1955,3.8,4.4,-.60000002
Zona intermedia,De 45 a 49 años,1951_1955,3.1,3.7,-.60000002
Zona intermedia,de 50 y más años,1951_1955,2.6,2.9,-.30000001
Zona intermedia,De 15 a 19 años,1956_1960,,,
Zona intermedia,De 20 a 24 años,1956_1960,,,
Zona intermedia,De 25 a 29 años,1956_1960,,,
Zona intermedia,De 30 a 34 años,1956_1960,8,3.3,4.6999998
Zona intermedia,De 35 a 39 años,1956_1960,4.1,4.2,-.1
Zona intermedia,De 40 a 44 años,1956_1960,3.1,3.6,-.5
Zona intermedia,De 45 a 49 años,1956_1960,2.7,3.1,-.40000001
Zona intermedia,de 50 y más años,1956_1960,2.4,2.5,-.1
Zona intermedia,De 15 a 19 años,1961_1965,,,
Zona intermedia,De 20 a 24 años,1961_1965,,,
Zona intermedia,De 25 a 29 años,1961_1965,,2.5,
Zona intermedia,De 30 a 34 años,1961_1965,3.3,3.6,-.30000001
Zona intermedia,De 35 a 39 años,1961_1965,3,3.3,-.30000001
Zona intermedia,De 40 a 44 años,1961_1965,2.7,3,-.30000001
Zona intermedia,De 45 a 49 años,1961_1965,2.5,2.7,-.2
Zona intermedia,de 50 y más años,1961_1965,1.6,1.8,-.2
Zona intermedia,De 15 a 19 años,1966_1970,,,
Zona intermedia,De 20 a 24 años,1966_1970,1.9,3.4,-1.5
Zona intermedia,De 25 a 29 años,1966_1970,2.82,3.16,-.34
Zona intermedia,De 30 a 34 años,1966_1970,2.5,2.92,-.41999999
Zona intermedia,De 35 a 39 años,1966_1970,2.42,2.68,-.25999999
Zona intermedia,De 40 a 44 años,1966_1970,2.26,2.48,-.22
Zona intermedia,De 45 a 49 años,1966_1970,1.96,2.12,-.16
Zona intermedia,de 50 y más años,1966_1970,1.22,1.44,-.22
Zona intermedia,De 15 a 19 años,1971_1975,1,2.6,-1.6
Zona intermedia,De 20 a 24 años,1971_1975,1.96,2.5,-.54000002
Zona intermedia,De 25 a 29 años,1971_1975,1.76,2.24,-.47999999
Zona intermedia,De 30 a 34 años,1971_1975,1.84,2.12,-.28
Zona intermedia,De 35 a 39 años,1971_1975,1.88,2.18,-.30000001
Zona intermedia,De 40 a 44 años,1971_1975,1.74,2.26,-.51999998
Zona intermedia,De 45 a 49 años,1971_1975,1.58,1.78,-.2
Zona intermedia,de 50 y más años,1971_1975,1.52,2.5,-.98000002
Zona intermedia,De 15 a 19 años,1976_1981,.9,1.05,-.15000001
Zona intermedia,De 20 a 24 años,1976_1981,.7333333333333334,.9833333333333334,-.25
Zona intermedia,De 25 a 29 años,1976_1981,.7000000000000001,.9333333333333335,-.23333333
Zona intermedia,De 30 a 34 años,1976_1981,.8333333333333334,1.133333333333334,-.30000001
Zona intermedia,De 35 a 39 años,1976_1981,1.016666666666667,1.35,-.33333334
Zona intermedia,De 40 a 44 años,1976_1981,1.033333333333333,1.3,-.26666668
Zona intermedia,De 45 a 49 años,1976_1981,1.116666666666666,1.283333333333333,-.16666667
Zona intermedia,de 50 y más años,1976_1981,1.016666666666667,1.466666666666667,-.44999999
Zona rural,De 15 a 19 años,1951_1955,,,
Zona rural,De 20 a 24 años,1951_1955,,,
Zona rural,De 25 a 29 años,1951_1955,,,
Zona rural,De 30 a 34 años,1951_1955,,,
Zona rural,De 35 a 39 años,1951_1955,1,4.8,-3.8
Zona rural,De 40 a 44 años,1951_1955,3,3.8,-.80000001
Zona rural,De 45 a 49 años,1951_1955,3,3.5,-.5
Zona rural,de 50 y más años,1951_1955,2.6,2.9,-.30000001
Zona rural,De 15 a 19 años,1956_1960,,,
Zona rural,De 20 a 24 años,1956_1960,,,
Zona rural,De 25 a 29 años,1956_1960,,,
Zona rural,De 30 a 34 años,1956_1960,1.5,3.7,-2.2
Zona rural,De 35 a 39 años,1956_1960,3.2,3.6,-.40000001
Zona rural,De 40 a 44 años,1956_1960,3,3.3,-.30000001
Zona rural,De 45 a 49 años,1956_1960,2.7,3,-.30000001
Zona rural,de 50 y más años,1956_1960,2.3,2.5,-.2
Zona rural,De 15 a 19 años,1961_1965,,,
Zona rural,De 20 a 24 años,1961_1965,,,
Zona rural,De 25 a 29 años,1961_1965,1.3,1.9,-.60000002
Zona rural,De 30 a 34 años,1961_1965,3,3.2,-.2
Zona rural,De 35 a 39 años,1961_1965,2.7,3.1,-.40000001
Zona rural,De 40 a 44 años,1961_1965,2.6,2.9,-.30000001
Zona rural,De 45 a 49 años,1961_1965,2.4,2.7,-.30000001
Zona rural,de 50 y más años,1961_1965,1.7,1.8,-.1
Zona rural,De 15 a 19 años,1966_1970,,,
Zona rural,De 20 a 24 años,1966_1970,2.3,2.1,.2
Zona rural,De 25 a 29 años,1966_1970,2.16,2.94,-.77999997
Zona rural,De 30 a 34 años,1966_1970,2.42,2.76,-.34
Zona rural,De 35 a 39 años,1966_1970,2.38,2.58,-.2
Zona rural,De 40 a 44 años,1966_1970,2.2,2.42,-.22
Zona rural,De 45 a 49 años,1966_1970,1.88,2.08,-.2
Zona rural,de 50 y más años,1966_1970,1.22,1.6,-.38
Zona rural,De 15 a 19 años,1971_1975,1,3.9,-2.9000001
Zona rural,De 20 a 24 años,1971_1975,1.94,2.16,-.22
Zona rural,De 25 a 29 años,1971_1975,1.82,2.2,-.38
Zona rural,De 30 a 34 años,1971_1975,1.84,2.080000000000001,-.23999999
Zona rural,De 35 a 39 años,1971_1975,1.94,2.16,-.22
Zona rural,De 40 a 44 años,1971_1975,2.02,2.3,-.28
Zona rural,De 45 a 49 años,1971_1975,1.94,2.18,-.23999999
Zona rural,de 50 y más años,1971_1975,2.36,3.3,-.94
Zona rural,De 15 a 19 años,1976_1981,1.016666666666667,1.133333333333334,-.11666667
Zona rural,De 20 a 24 años,1976_1981,.8333333333333334,1,-.16666667
Zona rural,De 25 a 29 años,1976_1981,.8166666666666668,.9666666666666668,-.15000001
Zona rural,De 30 a 34 años,1976_1981,.9833333333333334,1.116666666666667,-.13333334
Zona rural,De 35 a 39 años,1976_1981,1.216666666666667,1.383333333333333,-.16666667
Zona rural,De 40 a 44 años,1976_1981,1.383333333333334,1.5,-.11666667
Zona rural,De 45 a 49 años,1976_1981,1.55,1.483333333333333,.06666667
Zona rural,de 50 y más años,1976_1981,1.583333333333333,1.716666666666667,-.13333334
Zona urbana,De 15 a 19 años,1951_1955,,,
Zona urbana,De 20 a 24 años,1951_1955,,,
Zona urbana,De 25 a 29 años,1951_1955,,,
Zona urbana,De 30 a 34 años,1951_1955,,,
Zona urbana,De 35 a 39 años,1951_1955,4.3,5.5,-1.2
Zona urbana,De 40 a 44 años,1951_1955,3.7,4.1,-.40000001
Zona urbana,De 45 a 49 años,1951_1955,3.2,3.5,-.30000001
Zona urbana,de 50 y más años,1951_1955,2.6,2.8,-.2
Zona urbana,De 15 a 19 años,1956_1960,,,
Zona urbana,De 20 a 24 años,1956_1960,,,
Zona urbana,De 25 a 29 años,1956_1960,,,
Zona urbana,De 30 a 34 años,1956_1960,2.7,3.6,-.89999998
Zona urbana,De 35 a 39 años,1956_1960,3.6,3.9,-.30000001
Zona urbana,De 40 a 44 años,1956_1960,3.1,3.4,-.30000001
Zona urbana,De 45 a 49 años,1956_1960,2.8,3,-.2
Zona urbana,de 50 y más años,1956_1960,2.2,2.4,-.2
Zona urbana,De 15 a 19 años,1961_1965,,,
Zona urbana,De 20 a 24 años,1961_1965,,,
Zona urbana,De 25 a 29 años,1961_1965,2.9,3.2,-.30000001
Zona urbana,De 30 a 34 años,1961_1965,3.3,3.5,-.2
Zona urbana,De 35 a 39 años,1961_1965,2.9,3.2,-.30000001
Zona urbana,De 40 a 44 años,1961_1965,2.7,2.9,-.2
Zona urbana,De 45 a 49 años,1961_1965,2.4,2.6,-.2
Zona urbana,de 50 y más años,1961_1965,1.6,1.7,-.1
Zona urbana,De 15 a 19 años,1966_1970,,,
Zona urbana,De 20 a 24 años,1966_1970,2.2,2.9,-.69999999
Zona urbana,De 25 a 29 años,1966_1970,2.62,3.3,-.68000001
Zona urbana,De 30 a 34 años,1966_1970,2.46,2.82,-.36000001
Zona urbana,De 35 a 39 años,1966_1970,2.36,2.6,-.23999999
Zona urbana,De 40 a 44 años,1966_1970,2.22,2.4,-.18000001
Zona urbana,De 45 a 49 años,1966_1970,1.74,1.94,-.2
Zona urbana,de 50 y más años,1966_1970,.9199999999999999,1.26,-.34
Zona urbana,De 15 a 19 años,1971_1975,2,2.7,-.69999999
Zona urbana,De 20 a 24 años,1971_1975,1.96,2.38,-.41999999
Zona urbana,De 25 a 29 años,1971_1975,1.72,2.2,-.47999999
Zona urbana,De 30 a 34 años,1971_1975,1.74,2.04,-.30000001
Zona urbana,De 35 a 39 años,1971_1975,1.76,2.04,-.28
Zona urbana,De 40 a 44 años,1971_1975,1.62,2.04,-.41999999
Zona urbana,De 45 a 49 años,1971_1975,1.08,1.56,-.47999999
Zona urbana,de 50 y más años,1971_1975,.9400000000000001,1.8,-.86000001
Zona urbana,De 15 a 19 años,1976_1981,1.083333333333333,1.1,-.016666668
Zona urbana,De 20 a 24 años,1976_1981,.65,.75,-.1
Zona urbana,De 25 a 29 años,1976_1981,.6333333333333333,.8833333333333333,-.25
Zona urbana,De 30 a 34 años,1976_1981,.75,1.05,-.30000001
Zona urbana,De 35 a 39 años,1976_1981,.8666666666666666,1.25,-.38333333
Zona urbana,De 40 a 44 años,1976_1981,.8666666666666667,1.2,-.33333334
Zona urbana,De 45 a 49 años,1976_1981,.7833333333333333,1.2,-.41666666
Zona urbana,de 50 y más años,1976_1981,.8833333333333334,1.35,-.46666667
